Instrument,ISIN,ISIX,WKN,Mnemonic,MIC Code,URL,,,,,,,,,,,,,,,,,,,,,,,Start Intraday Auction 10,Start Closing Auction
S+T AG (Z.REG.MK.Z.)O.N.,AT0000A0E9W5,10300,000A0X9EJ,SANT,XETR,http://www.finanzen.at/aktien/ST_1-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
OESTERREICH. POST AG,AT0000APOST4,2077,000A0JML5,O3P,XETR,http://www.finanzen.at/aktien/Oesterreichische_Post-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
BUWOG AG,AT00BUWOG001,1639,000A1XDYU,BWO,XETR,http://www.finanzen.at/aktien/BUWOG-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
"BHP BILLITON DL -,50",AU000000BHP4,6875,850524,BHP1,XETR,http://www.finanzen.at/aktien/BHP_Billiton-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
COMMONW.BK AUSTR.,AU000000CBA7,704,882695,CWW,XETR,http://www.finanzen.at/aktien/Commonwealth_Bank_Australia-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
FIRST GRAPHITE LTD,AU000000FGR3,2381,000A2ABY7,M11,XETR,http://www.finanzen.at/aktien/MRL_1-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
KIBARAN RESOURCES LTD.,AU000000KNL2,2183,000A1C8BX,FMK,XETR,http://www.finanzen.at/aktien/Kibaran_Resources-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
LUCAPA DIAMOND CO. LTD.,AU000000LOM6,904,000A0M6U8,NHY,XETR,http://www.finanzen.at/aktien/Lucapa_Diamond_Company-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
"PSIVIDA CORP.CDIS/1DL-,01",AU000000PVA7,2704,000A0Q4DA,PV3,XETR,http://www.finanzen.at/aktien/pSivida_2-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
RIO TINTO LTD,AU000000RIO1,1590,855018,CRA1,XETR,http://www.finanzen.at/aktien/Rio_Tinto-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
WOODSIDE PET.,AU000000WPL2,1995,855377,WOPA,XETR,http://www.finanzen.at/aktien/Woodside_Petroleum_1-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
ORANGE BELGIUM S.A.,BE0003735496,4748,916424,MOS,XETR,http://www.finanzen.at/aktien/Mobistar-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
AGEAS SA/NV,BE0974264930,937,000A1J1DR,FO4N,XETR,http://www.finanzen.at/aktien/ageas_NV-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
APOLLO ENTERPRISE SOLUT.,BMG0410V2071,4027,000A1WYYT,OAL,XETR,http://www.finanzen.at/aktien/Apollo_Enterprise_Solutions-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
BIOMAX RUBB.INDUST.EO-001,BMG1120X1039,20,000A1W61Y,BRB,XETR,http://www.finanzen.at/aktien/Biomax_Rubber_Industries-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
"BRILL. CHINA AUT.  DL-,01",BMG1368B1028,6529,884968,CBA,XETR,http://www.finanzen.at/aktien/Brilliance_China_Automotive_1-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
"CLEAR TV        DL -,0001",BMG2294C1073,784,000A119V9,CLTV,XETR,http://www.finanzen.at/aktien/Clear_TV-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
"SEADRILL LTD.      DL 2,-",BMG7945E1057,1251,000A0ERZ0,S9A,XETR,http://www.finanzen.at/aktien/Seadrill-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
ALX URANIUM CORP.,CA00165J1093,935,000A1402P,6LLN,XETR,http://www.finanzen.at/aktien/ALX_Uranium-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
AFFINOR GROWERS INC.,CA00830Q1081,2218,000A115DJ,1AF,XETR,http://www.finanzen.at/aktien/Affinor_Growers-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
ALABAMA GRAPHITE CORP.,CA0102931080,1921,000A1J35M,1AG,XETR,http://www.finanzen.at/aktien/Alabama_Graphite-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
ALTAIR RES INC.,CA02137W1014,2486,000A2ALMP,90A,XETR,http://www.finanzen.at/aktien/Altair_Resources-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
AVARONE METALS,CA05351M2040,1484,000A14SVX,W2U1,XETR,http://www.finanzen.at/aktien/Avarone_Metals_2-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
BK NOVA SCOTIA,CA0641491075,492,850388,BKN,XETR,http://www.finanzen.at/aktien/Bank_of_Nova_Scotia_(Scotiabank)-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
BARRICK GOLD CORP.,CA0679011084,2204,870450,ABR,XETR,http://www.finanzen.at/aktien/Barrick_Gold-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
BREATHTEC BIOMEDICAL A,CA10639L1013,2719,000A1415K,BTI,XETR,http://www.finanzen.at/aktien/Breathtec_Biomedica_a-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
COLT RESOURCES INC.,CA1968741019,1517,000A0RM93,P01,XETR,http://www.finanzen.at/aktien/Colt_Resources-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
DAJIN RESOURCES,CA2340672054,1994,000A1XF20,C2U1,XETR,http://www.finanzen.at/aktien/Dajin_Resources_1-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
EQUITAS RES CORP. NEW,CA29458R2054,2251,000A12CWK,T6UN,XETR,http://www.finanzen.at/aktien/Equitas_Resources_2-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
EQUITORIAL EXPLORATION,CA2945981074,2389,000A14SME,EE1,XETR,http://www.finanzen.at/aktien/Equitorial_Exploration-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
FIRST MAJESTIC SILVER,CA32076V1031,12529,000A0LHKJ,FMV,XETR,http://www.finanzen.at/aktien/First_Majestic_Silver-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
GLOBAL HEMP GROUP INC.,CA37953Y1043,1197,000A110ZR,GHG,XETR,http://www.finanzen.at/aktien/Global_Hemp_Group-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
GOLDEN DAWN MINERALS,CA3808956070,2385,000A1XBWD,3G8A,XETR,http://www.finanzen.at/aktien/Golden_Dawn_Minerals_2-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
GOLDCORP INC.,CA3809564097,8312,890493,GO5,XETR,http://www.finanzen.at/aktien/Goldcorp-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
CGI GROUP INC. A SV,CA39945C1095,1553,912483,CJ5A,XETR,http://www.finanzen.at/aktien/CGI_Group-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
INTL WASTEWATER SYS INC.,CA4605591078,2489,000A14233,IWI,XETR,http://www.finanzen.at/aktien/International_Wastewater_Systems-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
KINROSS GOLD CORP.,CA4969024047,449,000A0DM94,KIN2,XETR,http://www.finanzen.at/aktien/Kinross_Gold-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
MINERAL HILL INDUSTR.NEW,CA60283T2074,2495,000A1JKJN,N8Z1,XETR,http://www.finanzen.at/aktien/Mineral_Hill_Industries_1-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
